Category,LogName,Expression,ExpressionXML,WA,Priority,Severity,ID,Description
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual317PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>317</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Alert_engine_stopped_due_to_unrecoverable_local_eventlog_errors_1_5_Rule,SQL Server Agent was unable to open the local event log.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual212PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>212</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Job_step_cannot_be_run_because_the_subsystem_failed_to_load_1_5_Rule,A SQL Server job failed to run because the SQL Server Agent subsystem failed to load.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual103PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>103</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_could_not_be_started_1_5_Rule,A process or a person attempted to start the SQL Server Agent service, but the service did not start.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual51PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>51</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_initiating_self_termination_1_5_Rule,SQL Server Agent has shut down the SQL Server Agent service.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual209PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>209</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Step_of_a_job_caused_an_exception_in_the_subsystem_1_5_Rule,A specific job step caused SQL Server Agent to write an error to the Windows Application log. The log will show the specific job and job step.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual207PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>207</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_connect_to_SQL_Server_1_5_Rule,The SQL Server Agent Service could not connect to the instance of SQL Server. This error may occur when the SQL Server Agent service account does not have a valid login on SQL Server
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual313PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>313</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_re_open_the_local_eventlog_1_5_Rule,SQL Server Agent was unable to open the local event log.
EventCollection,,,,WA:,1,2,Microsoft.SQLServer.Windows.EventRule.Database.Database_Backup_Failed_To_Complete_1_5_Rule,BACKUP failed to complete the command.
EventCollection,,,,WA:,1,2,Microsoft.SQLServer.Windows.EventRule.Database.Log_Backup_Failed_to_Complete_1_5_Rule,This error indicates that SQL Server could not complete the BACKUP of the specified database due to a previous error. The BACKUP command that failed is given at the end of the error message. This message also appears in the Windows application log.
EventCollection,,,,WA:,1,2,Microsoft.SQLServer.Windows.CollectionRule.Agent.The_agent_is_suspect._No_response_within_last_minutes_1_5_Rule,This behavior occurs because the replication agent is too busy to respond when SQL Server Enterprise Manager polls the replication agent; therefore, SQL Server Enterprise Manager does not know the status of the replication agent and it cannot report whether the replication agent is functioning or not.
EventCollection,,,,WA:,1,1,Microsoft.SQLServer.Windows.EventRule.DBEngine.A_default_full_text_catalog_does_not_exist_in_the_database_or_user_does_not_have_permission_to_perform_this_action_5_Rule,The full-text catalog does not exist or the user does not have the appropriate permission to create a full-text index in the catalog.
EventCollection,,,,WA:,1,2,Microsoft.SQLServer.Windows.EventRule.DBEngine.An_error_occurred_in_a_SQL_Server_Service_Broker_Database_Mirroring_transport_connection_endpoint_1_5_Rule,SQL Server uses Service Broker and Database Mirroring endpoints for communications outside the SQL Server instance.
EventCollection,,,,WA:,1,2,Microsoft.SQLServer.Windows.EventRule.DBEngine.An_error_occurred_in_the_Service_Broker_manager_5_Rule,The rule triggers an alert when an error occurs in the SQL Server Service Broker manager.
EventCollection,,,,WA:,1,2,Microsoft.SQLServer.Windows.EventRule.DBEngine.An_error_occurred_in_the_Service_Broker_queue_rollback_handler_5_Rule,SQL Server Service Broker raises MSSQLSERVER event ID 8405 when an error prevents Service Broker from disabling a queue during a rollback.
